ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
11861,1183024,Active,104458,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,Madison Avenue,W,East 69 Street,East 70 Street,40.7702091425563,-73.9666933353332,993475.573400393,219886.493019477,POINT (-73.966693335333 40.770209142556),12083,23,4,51,11
5994,3623002,Active,320281,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Liberty Avenue,S,Lincoln Avenue,Sheridan Avenue,40.6785982223643,-73.867386866587,1021032.86966364,186535.8881329,POINT (-73.867386866587 40.678598222364),17215,45,2,37,47
1930,2013023,Active,208729,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,Jerome Avenue,E,East 190 Street,East 193 Street,40.864154385099,-73.8998358507852,1011955.20507622,254128.214562148,POINT (-73.899835850785 40.864154385099),11606,24,5,29,34
4888,3149814,Active,311596,2 HR Pas Mon-Sat 0930-1900,,On Street,Brooklyn,10 Street,N,4 Avenue,5 Avenue,40.6687353299592,-73.9870251244459,987849.371398225,182914.978708059,POINT (-73.987025124446 40.668735329959),17617,14,2,27,50
10574,1453188,Active,101299,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,East 16 Street,S,Union Square East,Irving Place,40.7357070715092,-73.9889039943172,987325.061751306,207314.712388813,POINT (-73.988903994317 40.735707071509),11724,11,4,50,7
4101,3063119,Active,311606,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,East 14 Street,E,Avenue U,Avenue V,40.5984206390996,-73.9572116553618,996132.464412048,157300.080790982,POINT (-73.957211655362 40.5984206391),13512,32,2,15,36
4164,3063057,Active,304309,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,Avenue U,S,East 14 Street,East 15 Street,40.5987155198294,-73.9569227516448,996212.641088977,157407.552688897,POINT (-73.956922751645 40.598715519829),13512,32,2,15,36
1565,3179765,Active,311189,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,7 Avenue,E,14 Street,13 Street,40.6641509683673,-73.983760145148,988755.421751469,181244.917415649,POINT (-73.983760145148 40.664150968367),17617,14,2,27,50
638,1068246,Active,114498,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Broadway,E,Academy Street,West 204 Street,40.8664672260155,-73.9243812607833,1005165.26786873,254964.060331389,POINT (-73.924381260783 40.866467226016),13092,47,4,39,22
1427,3071372,Active,307040,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,86 Street,N,24 Avenue,23 Avenue,40.5999153271903,-73.9903342058411,986934.162926808,157841.879904225,POINT (-73.990334205841 40.59991532719),17616,1,2,45,37
9779,1443321,Active,103220,3HR Com Mon-Sat 0700-1900 /5HR Pas Mon-Sat 1900-2400,,On Street,Manhattan,Avenue of the Americas,W,West 41 Street,West 42 Street,40.7544560685467,-73.984525560861,988537.260442391,214145.755157143,POINT (-73.984525560861 40.754456068547),13094,11,4,51,8
7248,2063020,Active,221249,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Castle Hill Avenue,E,Ellis Avenue,Newbold Avenue,40.8329980062719,-73.8511806545488,1025432.41007714,242795.907174304,POINT (-73.851180654549 40.832998006272),11271,58,5,31,26
5164,3383057,Active,331836,2 HR Pas Mon-Sat 0900-1600,,On Street,Brooklyn,Rockaway Parkway,W,Smiths Lane,Glenwood Road,40.6459367871778,-73.9032988772197,1011085.10576655,174623.380133808,POINT (-73.90329887722 40.645936787178),13827,5,2,25,42
5725,3413078,Active,308440,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,West 6 Street,E,Avenue O,65 Street,40.6129900290595,-73.9805306918797,989655.511486724,162605.784418389,POINT (-73.98053069188 40.61299002906),16867,1,2,18,37
5152,3423052,Active,302928,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,3 Avenue,E,87 Street,86 Street,40.623033575573,-74.0311413854899,975605.122264728,166265.84829247,POINT (-74.03114138549 40.623033575573),17216,10,2,44,41
5281,3543078,Active,308144,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,Avenue X,N,East 3 Street,East 2 Street,40.5908333509171,-73.9681713089049,993089.937032551,154534.542686895,POINT (-73.968171308905 40.590833350917),18183,32,2,45,36
5305,3343031,Active,311661,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,Sheepshead Bay Road,E,Shore Pkwy.,Voorhies Avenue,40.5855514080984,-73.9515508894068,997707.070842892,152612.31326364,POINT (-73.951550889407 40.585551408098),13826,32,2,15,36
1293,2013017,Active,205946,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,East 183 Street,N,Walton Avenue,Jerome Avenue,40.8585858611335,-73.9032045356787,1011025.6757673,252098.33935681,POINT (-73.903204535679 40.858585861134),11606,6,5,29,29
3190,4221278,Active,467585,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Junction Boulevard,W,41 Avenue,42 Avenue,40.7470518172762,-73.8685181104648,1020681.66301697,211475.110564053,POINT (-73.868518110465 40.747051817276),14510,66,3,21,68
4240,3123026,Active,338870,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,5 Avenue,W,48 Street,49 Street,40.6459247251729,-74.0095645523949,981595.781871304,174604.318492144,POINT (-74.009564552395 40.645924725173),18180,9,2,7,45
13779,4151986,Active,417925,2 HR Pas Mon-Sat 1000-1900,,On Street,Queens,47 Avenue,N,32 Place,Van Dam Street,40.7428849600948,-73.9335179068585,1002672.34995431,209936.640543893,POINT (-73.933517906858 40.742884960095),16858,53,3,33,66
5378,3383044,Active,340939,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,East 95 Street,E,Avenue K,Avenue L,40.6378270972075,-73.8969771683132,1012842.88965255,171670.801393315,POINT (-73.896977168313 40.637827097208),13827,5,2,8,42
10737,1433021,Active,106749,6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,West 46 Street,N,Avenue of the Americas,5 Avenue,40.7569676287144,-73.9811178849636,989481.174565047,215060.98331356,POINT (-73.981117884964 40.756967628714),13094,11,4,51,10
4438,3043183,Active,307061,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Nostrand Avenue,E,Avenue J,Avenue I,40.6275909029323,-73.9469495945986,998975.836021885,167929.126133889,POINT (-73.946949594599 40.627590902932),17217,5,2,26,38
7096,2173060,Active,200694,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,McGraw Avenue,S,Unionport Road,Pugsley Avenue,40.8355089013881,-73.8560394579027,1024086.34321547,243708.470965981,POINT (-73.856039457903 40.835508901388),11271,58,5,31,26
885,1208053,Active,111626,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 106 Street,N,3 Avenue,Lexington Avenue,40.791852712371,-73.9451234933996,999445.237642139,227774.984788388,POINT (-73.9451234934 40.791852712371),12426,7,4,35,14
4500,3043143,Active,308435,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Nostrand Avenue,W,Campus Road,Avenue I,40.6305396424176,-73.9475327707868,998813.313381061,169003.33297497,POINT (-73.947532770787 40.630539642418),17217,60,2,26,43
10660,1453280,Active,106349,1HR Com Mon-Sat 0700-1900,,On Street,Manhattan,Union Square W.,W,East 16 Street,East 15 Street,40.7362189888648,-73.991037555032,986733.764049381,207501.152304649,POINT (-73.991037555032 40.736218988865),11724,11,4,50,7
13092,4053048,Active,466139,3HR Pas Mon-Sat 0900-1900,,On Street,Queens,70 Avenue,E,Austin Street,Queens Boulevard,40.7211693738785,-73.846771032718,1026723.94194289,202055.130716398,POINT (-73.846771032718 40.721169373879),14786,40,3,28,70
