parking_spot_id,type,parking_spot_name,address_zip,borough,detail,longitude,latitude,operation_hours
2102147-DCA,Business,"IMPERIAL PARKING (U.S.), LLC",10011,Manhattan,"Vehicle Spaces: 129, Bicycle Spaces: 13",-73.99501994760485,40.74215026028672,unknown
2028694-DCA,Business,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",10019,Manhattan,"Vehicle Spaces: 200, Bicycle Spaces: 20",-73.97463339329103,40.76325467665233,unknown
2101595-DCA,Business,NYC ARENA PARKING LLC,11217,Brooklyn,"Vehicle Spaces: 85, Bicycle Spaces: 43",-73.97326172392603,40.68211657449733,unknown
0992413-DCA,Business,CASTLE PARKING CORP.,10458,Bronx,"Vehicle Spaces: 100, Bicycle Spaces: 10",-73.88462965204158,40.866670245967775,unknown
2089530-DCA,Business,30-40-60 GARAGE LLC,10003,Manhattan,"Vehicle Spaces: 95, Bicycle Spaces: 9",-73.99386969778418,40.73197540651648,unknown
2020001-DCA,Business,44 ELIZABETH STREET PARKING CORP,10013,Manhattan,"Vehicle Spaces: 147, Bicycle Spaces: 15",-73.99674615511522,40.71690680522789,unknown
2042301-DCA,Business,210 CENTRAL PARK SOUTH PARKING CORP.,10019,Manhattan,"Vehicle Spaces: 25, Bicycle Spaces: 0",-73.97962106924473,40.767092815752505,unknown
2105918-DCA,Business,215 E 95TH PARKING LLC,10128,Manhattan,"Vehicle Spaces: 108, Bicycle Spaces: 11",-73.94973448336172,40.78448803485414,unknown
2083503-DCA,Business,ABM INDUSTRY GROUPS LLC,10019,Manhattan,"Vehicle Spaces: 235, Bicycle Spaces: 23",-73.98396172072285,40.76157382560385,unknown
0901637-DCA,Business,WOOSTER PARKING CORP.,10013,Manhattan,"Vehicle Spaces: 225, Bicycle Spaces: 20",-74.0036833307103,40.72069181572596,unknown
2097372-DCA,Business,115 EAST 87TH STREET PARKING CORP.,10128,Manhattan,"Vehicle Spaces: 198, Bicycle Spaces: 20",-73.95599499048019,40.78056287994857,unknown
2099667-DCA,Business,333 EAST 46TH PARKING CORP,10017,Manhattan,"Vehicle Spaces: 34, Bicycle Spaces: 0",-73.96944033271159,40.75200270720228,unknown
2101786-DCA,Business,157 WEST 83RD PARKING MANAGEMENT CORP.,10024,Manhattan,"Vehicle Spaces: 182, Bicycle Spaces: 18",-73.97515585869253,40.78520171544904,unknown
2097128-DCA,Business,146-154 THIRD AVENUE PARKING CORP,10003,Manhattan,"Vehicle Spaces: 55, Bicycle Spaces: 6",-73.98658434453847,40.73412393080372,unknown
1338636-DCA,Business,HARL PARKING CORP.,10035,Manhattan,"Vehicle Spaces: 152, Bicycle Spaces: 15",-73.94497093534021,40.80269165447626,unknown
2024014-DCA,Business,62 MULBERRY PARKING CORP,10013,Manhattan,"Vehicle Spaces: 181, Bicycle Spaces: 18",-73.99943726157278,40.715627791446174,unknown
1328217-DCA,Business,WILLBE PARKING LLC,10003,Manhattan,"Vehicle Spaces: 30, Bicycle Spaces:",-73.98341663930714,40.73259194537532,unknown
1464646-DCA,Business,DISCOVER 97 PARKING LLC,10025,Manhattan,"Vehicle Spaces: 80, Bicycle Spaces: 8",-73.9672328139575,40.79327748070041,unknown
1305460-DCA,Business,THEATER 50 PARKING LLC,10019,Manhattan,"Vehicle Spaces: 63, Bicycle Spaces: 6",-73.98653170516866,40.76247991988204,unknown
1423872-DCA,Business,PARK KWIK LLC,11201,Brooklyn,"Vehicle Spaces: 52, Bicycle Spaces: 5",-73.98859608814186,40.70181557936636,unknown
1402662-DCA,Business,330 THIRD PARKING CORP.,10010,Manhattan,"Vehicle Spaces: 42, Bicycle Spaces:",-73.98244773596998,40.7398105023886,unknown
2074574-DCA,Business,FOR THE COMMUNITY PARKING GARAGE INC.,10453,Bronx,"Vehicle Spaces: 40, Bicycle Spaces: 0",-73.91036855975861,40.85041977526057,unknown
2071856-DCA,Business,BRUCKNER PARKING LLC,10454,Bronx,"Vehicle Spaces: 77, Bicycle Spaces: 8",-73.92857826253507,40.80730752638972,unknown
2097371-DCA,Business,301 EAST 40TH STREET PARKING CORP.,10016,Manhattan,"Vehicle Spaces: 108, Bicycle Spaces: 11",-73.97301132022025,40.74849306691836,unknown
0368705-DCA,Business,AMBER PARK LLC,10003,Manhattan,"Vehicle Spaces: 46, Bicycle Spaces:",-73.98953604769402,40.73339413228514,unknown
2089152-DCA,Business,LIAM GARAGE LLC,10011,Manhattan,"Vehicle Spaces: 42, Bicycle Spaces: 0",-73.99606312073887,40.73793436227037,unknown
1390617-DCA,Business,PARK KWIK LLC,10019,Manhattan,"Vehicle Spaces: 173, Bicycle Spaces: 17",-73.99296022182833,40.76815387285717,unknown
1218380-DCA,Business,444 MANHATTAN PARKING CORP.,10026,Manhattan,"Vehicle Spaces: 24, Bicycle Spaces:",-73.95479705577826,40.8058962761949,unknown
2003468-DCA,Business,QUIK PARK LIBBY 2 LLC,10017,Manhattan,"Vehicle Spaces: 51, Bicycle Spaces: 5",-73.96910759661048,40.75347654746056,unknown
1181493-DCA,Business,UPTOWN PARKING LLC,10065,Manhattan,"Vehicle Spaces: 100, Bicycle Spaces: 10",-73.96441347422149,40.7639216902801,unknown
1181124-DCA,Business,200 EAST PARKING CORP.,10065,Manhattan,"Vehicle Spaces: 118, Bicycle Spaces: 11",-73.96449986342687,40.76438832311424,unknown
1185631-DCA,Business,SUTTON 53 PARKING LLC,10022,Manhattan,"Vehicle Spaces: 182, Bicycle Spaces: 18",-73.96383648836729,40.7561676090553,unknown
1447270-DCA,Business,WALL PARK 45 LLC,10005,Manhattan,"Vehicle Spaces: 87, Bicycle Spaces: 8",-74.00986101521104,40.706594357508216,unknown
0976183-DCA,Business,EVER-READY PARKING INC.,10017,Manhattan,"Vehicle Spaces: 155, Bicycle Spaces: 16",-73.96950529575057,40.75201095865999,unknown
1146424-DCA,Business,REGAL PARKING CORP.,11374,Queens,"Vehicle Spaces: 180, Bicycle Spaces: 18",-73.85832650299395,40.73110341779071,unknown
